Platz;Produkt;Marke;Quelle;Business-Eignung (1–10);Tragekomfort (1–10);Material;Markenwertung (1–10);Anbieterwertung (1–10);Gesamtscore (0–100)
1;Stanley/Stella Unisex Bio-Poloshirt PREPSTER;Stanley/Stella;Spreadconnect;8;9;100% Baumwolle (aus biologischem Anbau);10;5;69,88
2;Stanley/Stella Frauen Bio-Poloshirt ELLISER;Stanley/Stella;Spreadconnect;8;9;95% Bio-Baumwolle, 5% Elasthan;10;5;69,82
3;Stanley/Stella Unisex Bio-Langarm-Poloshirt Prepster;Stanley/Stella;Spreadconnect;8;9;100% Baumwolle (aus biologischem Anbau);10;5;69,51
4;Herren-Poloshirt aus Bio-Baumwolle;SOL'S Planet Men 03566;Gelato;8;9;100 % Bio-Baumwolle;5;8;65,77
5;Feminin geschnittenes Damen-Poloshirt;SOL'S Planet Women 03575;Gelato;8;9;100 % Bio-Baumwolle;5;8;65,77
6;Unisex Bio-Poloshirt;SOL'S Pegase 04242;Gelato;8;9;Zertifizierte Bio-Baumwolle;5;8;65,62
7;Tailliert geschnittenes Poloshirt Damen;SOL'S Perfect Women 11347;Gelato;8;8;100 % gekämmte ringgesponnene Baumwolle;5;8;64,21
8;adidas Sport Polo Shirt;adidas;Printful;9;9;100% recycled polyester (piqué);5;8;62
9;Frauen Polo Shirt | Gildan;Gildan;Spreadconnect;8;8;100% Baumwolle (Grau meliert: 90% Baumwolle, 10% Polyester);6;5;61,11
10;Männer Poloshirt | Gildan;Gildan;Spreadconnect;8;8;100% Baumwolle (außer Grau meliert: 90% Baumwolle, 10% Polyester);6;5;61,1
11;Women's Pique Polo Shirt | Gildan 64800L;Gildan;Printful;7;5;100% cotton;6;8;57,21
12;Unisex Pique Polo Shirt | Gildan 64800;Gildan;Printful;7;5;100% ringspun cotton;6;8;57,21
13;JAKO Männer Polo Organic;JAKO;Spreadconnect;8;9;90% Baumwolle (Bio), 10% Viskose;5;5;56,74
14;JAKO Frauen Polo Organic;JAKO;Spreadconnect;8;9;"100% Baumwolle (Bio); Grau meliert: 90% Baumwolle (Bio), 10% Viskose";5;5;56,74
15;Tailliert geschnittenes Poloshirt Herren;SOL'S Perfect Men 11346;Gelato;7;5;Hochwertiger, strapazierfähiger Stoff;5;8;56,21
16;Unisex Pique Polo Shirt;Gildan 64800;Printful;7;5;100% ring-spun cotton;5;8;55,21
17;Unisex Premium Pique Polo Shirt | SOL'S 11362;SOL'S;Printful;7;5;100% combed ringspun cotton;5;8;54,96
18;Unisex Premium Pique Polo Shirt;SOLS 11362;Printful;7;5;65% cotton, 35% viscose;5;8;54,96
19;Men’s All-Over Print Slim Fit Polo Shirt;—;Printful;7;6;95% polyester, 5% spandex;5;8;54,69
20;adidas Premium Polo Shirt;adidas;Printful;7;6;100% recycled polyester;5;8;52,55
21;adidas Sport Polo Shirt;adidas;Printful;7;6;100% recycled polyester;5;8;52
22;CRAFT Core Unify Polo;CRAFT (Core Unify);Spreadconnect;7;6;100% Polyester (recycelt), Melange-Farben: 50% Polyester (recycelt), 50% Polyester;5;5;50,07
23;CRAFT Core Unify Frauen Polo;CRAFT (Core Unify);Spreadconnect;7;6;100% Polyester (recycelt), Melange-Farben: 50% Polyester (recycelt), 50% Polyester;5;5;50,07
24;Männer Polo atmungsaktiv | Spiro;Spiro;Spreadconnect;7;6;100% Polyester;5;5;49,36
25;Frauen Polo atmungsaktiv | Spiro;Spiro;Spreadconnect;7;6;100% Polyester;5;5;49,36
